player_id,player_firstname,player_lastname,pos,fga,defReb,fgm,tpm,totReb,offReb,turnovers,fta,pFouls,assists,points,game_id,steals,team_id,plusMinus,ftm,tpa,blocks
2,Quincy,Acy,C,3.0,1.0,1.0,0.0,3.0,2.0,1.0,6.0,2.0,1.0,6.0,1133,1.0,30,-6.0,4.0,0.0,0.0
2,Quincy,Acy,F,115.0,71.0,72.0,11.0,96.0,25.0,13.0,28.0,63.0,16.0,178.0,26763,14.0,840,-79.0,23.0,25.0,14.0
4,Steven,Adams,C,564.0,443.0,348.0,0.0,741.0,298.0,114.0,290.0,292.0,82.0,869.0,82947,53.0,2575,551.0,173.0,1.0,108.0
5,Arron,Afflalo,F,34.0,12.0,9.0,4.0,14.0,2.0,6.0,9.0,7.0,5.0,31.0,2733,0.0,72,-2.0,9.0,14.0,2.0
5,Arron,Afflalo,G,652.0,196.0,305.0,77.0,212.0,16.0,61.0,101.0,119.0,109.0,775.0,34017,23.0,1368,-59.0,88.0,192.0,7.0
6,Alexis,Ajinca,C,56.0,39.0,29.0,0.0,53.0,14.0,11.0,6.0,28.0,7.0,63.0,6115,0.0,230,-15.0,5.0,0.0,8.0
6,Alexis,Ajinca,F,95.0,39.0,43.0,0.0,55.0,16.0,19.0,19.0,23.0,10.0,103.0,8689,4.0,161,-67.0,17.0,0.0,5.0
7,Cole,Aldrich,C,52.0,39.0,33.0,0.0,55.0,16.0,10.0,19.0,13.0,10.0,79.0,5288,12.0,80,29.0,13.0,0.0,7.0
8,LaMarcus,Aldridge,C,78.0,37.0,45.0,0.0,49.0,12.0,9.0,31.0,20.0,8.0,117.0,2605,6.0,217,38.0,27.0,3.0,8.0
8,LaMarcus,Aldridge,F,1189.0,500.0,603.0,2.0,693.0,193.0,107.0,335.0,160.0,115.0,1495.0,63975,39.0,2542,530.0,287.0,16.0,89.0
10,Lavoy,Allen,C,8.0,3.0,7.0,0.0,4.0,1.0,1.0,0.0,2.0,3.0,14.0,593,1.0,15,-13.0,0.0,0.0,1.0
10,Lavoy,Allen,F,149.0,101.0,73.0,0.0,165.0,64.0,30.0,21.0,60.0,22.0,158.0,24378,11.0,465,131.0,12.0,0.0,12.0
11,Tony,Allen,F,155.0,92.0,70.0,7.0,132.0,40.0,20.0,47.0,76.0,22.0,175.0,12193,40.0,456,14.0,28.0,17.0,5.0
11,Tony,Allen,G,301.0,89.0,140.0,7.0,141.0,52.0,51.0,87.0,88.0,45.0,350.0,30092,65.0,684,-122.0,63.0,28.0,11.0
12,Al-Farouq,Aminu,F,879.0,486.0,369.0,157.0,612.0,126.0,151.0,194.0,211.0,163.0,1038.0,73554,82.0,2784,59.0,143.0,431.0,67.0
14,Chris,Andersen,C,128.0,118.0,66.0,4.0,188.0,70.0,18.0,48.0,52.0,16.0,170.0,40026,32.0,688,-178.0,34.0,16.0,16.0
16,James,Anderson,F,55.0,14.0,20.0,10.0,16.0,2.0,15.0,9.0,8.0,13.0,55.0,4912,6.0,210,-56.0,5.0,29.0,3.0
16,James,Anderson,G,44.0,10.0,19.0,8.0,12.0,2.0,9.0,2.0,13.0,8.0,47.0,6811,3.0,300,-28.0,1.0,24.0,2.0
17,Justin,Anderson,F,70.0,52.0,29.0,9.0,66.0,14.0,10.0,32.0,22.0,14.0,90.0,11815,10.0,96,-24.0,23.0,34.0,12.0
18,Kyle,Anderson,C,5.0,3.0,3.0,0.0,3.0,0.0,1.0,2.0,2.0,1.0,7.0,797,0.0,31,10.0,1.0,0.0,0.0
18,Kyle,Anderson,F,74.0,43.0,36.0,5.0,48.0,5.0,13.0,14.0,21.0,26.0,87.0,9676,21.0,310,56.0,10.0,9.0,4.0
