Year,Player,Salary
2016,Player,2016/17
2016,LeBron James,"$30,963,450"
2016,Al Horford,"$26,540,100"
2016,Kevin Durant,"$26,540,100"
2016,James Harden,"$26,540,100"
2016,Mike Conley,"$26,540,100"
2016,Russell Westbrook,"$26,540,100"
2016,DeMar DeRozan,"$26,540,100"
2016,Dirk Nowitzki,"$25,000,000"
2016,Carmelo Anthony,"$24,559,380"
2016,Damian Lillard,"$24,328,425"
2016,Chris Bosh,"$23,741,060"
2016,Dwight Howard,"$23,500,000"
2016,Dwyane Wade,"$23,200,000"
2016,Chris Paul,"$22,868,827"
2016,Harrison Barnes,"$22,116,750"
2016,Andre Drummond,"$22,116,750"
2016,Chandler Parsons,"$22,116,750"
2016,Hassan Whiteside,"$22,116,750"
2016,Anthony Davis,"$22,116,750"
2016,Bradley Beal,"$22,116,750"
2016,Derrick Rose,"$21,323,252"
2016,Brook Lopez,"$21,165,675"
2016,Kevin Love,"$21,165,675"
2016,DeAndre Jordan,"$21,165,675"
2016,Marc Gasol,"$21,165,675"
2016,Nicolas Batum,"$20,869,566"
2016,LaMarcus Aldridge,"$20,575,005"
2016,Blake Griffin,"$20,093,064"
2016,Paul Millsap,"$20,072,033"
2016,Ryan Anderson,"$18,735,364"
2016,Allen Crabbe,"$18,500,000"
2016,Paul George,"$18,100,000"
2016,Luol Deng,"$18,000,000"
2016,Kyrie Irving,"$17,638,063"
2016,Kawhi Leonard,"$17,638,063"
2016,Jimmy Butler,"$17,552,209"
2016,Tobias Harris,"$17,200,000"
2016,Wesley Matthews,"$17,145,838"
2016,Greg Monroe,"$17,145,838"
2016,Enes Kanter,"$17,145,838"
2016,Joakim Noah,"$17,000,000"
2016,Evan Fournier,"$17,000,000"
2016,Bismack Biyombo,"$17,000,000"
2016,Klay Thompson,"$16,663,575"
2016,Evan Turner,"$16,393,443"
2016,Gordon Hayward,"$16,073,140"
2016,Timofey Mozgov,"$16,000,000"
2016,Ian Mahinmi,"$16,000,000"
2016,Goran Dragic,"$15,891,725"
2016,DeMarcus Cousins,"$15,756,438"
2016,John Wall,"$15,756,438"
2016,Kent Bazemore,"$15,730,337"
2016,Pau Gasol,"$15,500,000"
2016,Tristan Thompson,"$15,330,435"
2016,Draymond Green,"$15,330,435"
2016,Khris Middleton,"$15,200,000"
2016,Danilo Gallinari,"$15,050,000"
2016,Jeff Green,"$15,000,000"
2016,Reggie Jackson,"$14,956,522"
2016,Deron Williams,"$14,885,520"
2016,Tony Parker,"$14,445,313"
2016,Jonas Valanciunas,"$14,382,023"
2016,DeMarre Carroll,"$14,200,000"
2016,Rajon Rondo,"$14,000,000"
2016,Eric Bledsoe,"$14,000,000"
2016,Manu Ginobili,"$14,000,000"
2016,Ricky Rubio,"$13,400,000"
2016,Rudy Gay,"$13,333,333"
2016,Jamal Crawford,"$13,253,012"
2016,Robin Lopez,"$13,219,250"
2016,Michael Kidd-Gilchrist,"$13,000,000"
2016,JR Smith,"$12,800,000"
2016,Brandon Knight,"$12,606,250"
2016,Jordan Clarkson,"$12,500,000"
2016,Arron Afflalo,"$12,500,000"
2016,Tyson Chandler,"$12,415,000"
2016,Miles Plumlee,"$12,400,000"
2016,Eric Gordon,"$12,385,665"
2016,John Henson,"$12,267,606"
2016,Marvin Williams,"$12,250,000"
2016,Serge Ibaka,"$12,250,000"
2016,Stephen Curry,"$12,112,359"
2016,Nikola Pekovic,"$12,100,000"
2016,Kenneth Faried,"$12,078,652"
2016,Thaddeus Young,"$12,078,652"
2016,Amir Johnson,"$12,000,000"
2016,Kemba Walker,"$12,000,000"
2016,Kyle Lowry,"$12,000,000"
2016,Marcin Gortat,"$12,000,000"
2016,Nikola Vucevic,"$11,750,000"
2016,Solomon Hill,"$11,709,603"
2016,Jeremy Lin,"$11,483,254"
2016,Andrew Bogut,"$11,410,378"
2016,Courtney Lee,"$11,242,000"
2016,Wilson Chandler,"$11,233,146"
2016,Andre Iguodala,"$11,131,368"
2016,Derrick Favors,"$11,050,000"
2016,Austin Rivers,"$11,000,000"
2016,Jrue Holiday,"$11,000,000"
2016,Joe Johnson,"$11,000,000"
2016,Jon Leuer,"$10,991,957"
2016,Anderson Varejao,"$10,851,659"
2016,Monta Ellis,"$10,763,500"
2016,Mirza Teletovic,"$10,500,000"
2016,Jared Dudley,"$10,470,000"
2016,Al Jefferson,"$10,230,179"
2016,Tyreke Evans,"$10,203,755"
2016,Zach Randolph,"$10,000,000"
2016,Terrence Ross,"$10,000,000"
2016,Danny Green,"$10,000,000"
2016,Alec Burks,"$9,904,495"
2016,Omer Asik,"$9,904,494"
2016,Iman Shumpert,"$9,662,922"
2016,Matthew Dellavedova,"$9,607,500"
2016,Jerryd Bayless,"$9,424,084"
2016,Trevor Booker,"$9,250,000"
2016,Meyers Leonard,"$9,213,484"
2016,Gerald Henderson,"$9,000,000"
2016,Moe Harkless,"$8,988,764"
2016,Taj Gibson,"$8,950,000"
2016,E'Twaun Moore,"$8,801,363"
2016,Kris Humphries,"$8,630,000"
2016,Ersan Ilyasova,"$8,400,000"
2016,Dwight Powell,"$8,375,000"
2016,Avery Bradley,"$8,269,663"
2016,Tiago Splitter,"$8,250,000"
2016,Darrell Arthur,"$8,070,175"
2016,Kosta Koufos,"$8,046,500"
2016,Tyler Zeller,"$8,000,000"
2016,Jeff Teague,"$8,000,000"
2016,Kevin Garnett,"$8,000,000"
2016,Garrett Temple,"$8,000,000"
