Year,Player,Salary
2017,Player,2017/18
2017,Stephen Curry,"$34,682,550"
2017,LeBron James,"$33,285,709"
2017,Paul Millsap,"$30,769,231"
2017,Gordon Hayward,"$29,727,900"
2017,Blake Griffin,"$29,512,900"
2017,Kyle Lowry,"$28,903,704"
2017,Mike Conley,"$28,530,608"
2017,James Harden,"$28,299,399"
2017,Russell Westbrook,"$28,299,399"
2017,DeMar DeRozan,"$27,739,975"
2017,Al Horford,"$27,734,405"
2017,Carmelo Anthony,"$26,243,760"
2017,Damian Lillard,"$26,153,057"
2017,Jrue Holiday,"$25,686,667"
2017,Chris Bosh,"$25,289,390"
2017,Kevin Durant,"$25,000,000"
2017,Otto Porter,"$24,773,250"
2017,Chris Paul,"$24,268,959"
2017,CJ McCollum,"$23,962,573"
2017,Andre Drummond,"$23,775,506"
2017,Hassan Whiteside,"$23,775,506"
2017,Anthony Davis,"$23,775,506"
2017,Bradley Beal,"$23,775,506"
2017,Dwight Howard,"$23,500,000"
2017,Harrison Barnes,"$23,112,004"
2017,Chandler Parsons,"$23,112,004"
2017,JJ Redick,"$23,000,000"
2017,Kevin Love,"$22,642,350"
2017,DeAndre Jordan,"$22,642,350"
2017,Brook Lopez,"$22,642,350"
2017,Marc Gasol,"$22,642,350"
2017,Giannis Antetokounmpo,"$22,471,911"
2017,Steven Adams,"$22,471,911"
2017,Nicolas Batum,"$22,434,783"
2017,LaMarcus Aldridge,"$21,461,010"
2017,Greg Monroe,"$21,384,175"
2017,Rudy Gobert,"$21,224,719"
2017,Victor Oladipo,"$21,000,000"
2017,Danilo Gallinari,"$20,559,599"
2017,Serge Ibaka,"$20,061,729"
2017,George Hill,"$20,000,000"
2017,Ryan Anderson,"$19,578,455"
2017,Paul George,"$19,300,000"
2017,Jeff Teague,"$19,000,000"
2017,Kyrie Irving,"$18,868,626"
2017,Kawhi Leonard,"$18,868,625"
2017,Jimmy Butler,"$18,696,918"
2017,Allen Crabbe,"$18,500,000"
2017,DeMarcus Cousins,"$18,063,850"
2017,John Wall,"$18,063,850"
2017,Enes Kanter,"$17,884,176"
2017,Wesley Matthews,"$17,884,175"
2017,Dwyane Wade,"$17,878,652"
2017,Klay Thompson,"$17,826,150"
2017,Joakim Noah,"$17,765,000"
2017,Kentavious Caldwell-Pope,"$17,745,894"
2017,Luol Deng,"$17,190,000"
2017,Evan Turner,"$17,131,148"
2017,Goran Dragic,"$17,000,450"
2017,Bismack Biyombo,"$17,000,000"
2017,Evan Fournier,"$17,000,000"
2017,Kent Bazemore,"$16,910,112"
2017,Robert Covington,"$16,698,103"
2017,Tim Hardaway Jr,"$16,500,000"
2017,Tristan Thompson,"$16,400,000"
2017,Draymond Green,"$16,400,000"
2017,Reggie Jackson,"$16,000,000"
2017,Tobias Harris,"$16,000,000"
2017,Pau Gasol,"$16,000,000"
2017,Ian Mahinmi,"$16,000,000"
2017,Dennis Schroeder,"$15,500,000"
2017,Jonas Valanciunas,"$15,460,675"
2017,Tony Parker,"$15,453,126"
2017,Timofey Mozgov,"$15,280,000"
2017,Jamal Crawford,"$15,270,762"
2017,Andre Iguodala,"$14,814,815"
2017,DeMarre Carroll,"$14,800,000"
2017,Eric Bledsoe,"$14,500,000"
2017,Gorgui Dieng,"$14,112,360"
2017,Khris Middleton,"$14,100,000"
2017,Ricky Rubio,"$14,100,000"
2017,Mason Plumlee,"$14,041,096"
2017,Taj Gibson,"$14,000,000"
2017,Robin Lopez,"$13,788,500"
2017,JR Smith,"$13,760,000"
2017,James Johnson,"$13,734,000"
2017,Joe Ingles,"$13,636,364"
2017,Brandon Knight,"$13,618,750"
2017,Marvin Williams,"$13,168,750"
2017,Michael Kidd-Gilchrist,"$13,000,000"
2017,Tyson Chandler,"$13,000,000"
2017,Eric Gordon,"$12,943,020"
2017,Kenneth Faried,"$12,921,348"
2017,Thaddeus Young,"$12,921,348"
2017,Marcin Gortat,"$12,782,609"
2017,Cody Zeller,"$12,584,270"
2017,Nikola Mirotic,"$12,500,000"
2017,Miles Plumlee,"$12,400,000"
2017,Zach Randolph,"$12,307,692"
2017,Nikola Vucevic,"$12,250,000"
2017,Solomon Hill,"$12,236,535"
2017,Dion Waiters,"$12,100,000"
2017,Wilson Chandler,"$12,016,854"
2017,Kelly Olynyk,"$12,007,169"
2017,Jeremy Lin,"$12,000,000"
2017,Kemba Walker,"$12,000,000"
2017,Derrick Favors,"$12,000,000"
2017,Austin Rivers,"$11,825,000"
2017,Courtney Lee,"$11,747,890"
2017,Nikola Pekovic,"$11,600,000"
2017,Jordan Clarkson,"$11,562,500"
2017,John Henson,"$11,422,536"
2017,Amir Johnson,"$11,000,000"
2017,Alec Burks,"$10,845,506"
2017,Patrick Mills,"$10,714,286"
2017,Moe Harkless,"$10,662,922"
2017,Omer Asik,"$10,595,505"
2017,Bojan Bogdanovic,"$10,500,000"
2017,Mirza Teletovic,"$10,500,000"
2017,Terrence Ross,"$10,500,000"
2017,Jon Leuer,"$10,497,319"
2017,Iman Shumpert,"$10,337,079"
2017,Joe Johnson,"$10,254,904"
2017,Darren Collison,"$10,000,000"
2017,Jared Dudley,"$10,000,000"
2017,Danny Green,"$10,000,000"
2017,Meyers Leonard,"$9,904,495"
2017,Tony Snell,"$9,821,429"
2017,Al Jefferson,"$9,769,821"
2017,Matthew Dellavedova,"$9,607,500"
2017,Trevor Booker,"$9,571,137"
2017,Bogdan Bogdanovic,"$9,470,614"
2017,Andre Roberson,"$9,259,260"
2017,Dwight Powell,"$9,003,125"
2017,Jerryd Bayless,"$9,000,000"
2017,Avery Bradley,"$8,808,989"
2017,JaMychal Green,"$8,533,333"
2017,E'Twaun Moore,"$8,445,024"
2017,Rudy Gay,"$8,406,000"
2017,Kosta Koufos,"$8,393,000"
2017,Corey Brewer,"$8,105,615"
2017,Garrett Temple,"$8,000,000"
2017,Vince Carter,"$8,000,000"
2017,Markieff Morris,"$8,000,000"
2017,CJ Miles,"$7,936,509"
2017,Cristiano Felicio,"$7,843,500"
2017,Shaun Livingston,"$7,692,308"
2017,Cory Joseph,"$7,630,000"
2017,PJ Tucker,"$7,590,035"
2017,Andrew Wiggins,"$7,574,322"
2017,Darrell Arthur,"$7,464,912"
2017,Channing Frye,"$7,420,912"
2017,Trevor Ariza,"$7,400,000"
2017,Al-Farouq Aminu,"$7,319,035"
2017,Cole Aldrich,"$7,300,000"
2017,DJ Augustin,"$7,250,000"
2017,Marco Belinelli,"$7,082,277"
2017,Markelle Fultz,"$7,026,240"
2017,Jeremy Lamb,"$7,000,000"
2017,Kyle Korver,"$7,000,000"
2017,Louis Williams,"$7,000,000"
2017,Jameer Nelson,"$6,998,920"
2017,Dewayne Dedmon,"$6,900,000"
2017,Jae Crowder,"$6,796,117"
2017,Jabari Parker,"$6,782,392"
2017,Langston Galloway,"$6,666,667"
2017,Lance Thomas,"$6,655,325"
2017,Ersan Ilyasova,"$6,514,288"
2017,Matt Barnes,"$6,400,625"
2017,Ed Davis,"$6,352,531"
2017,Rajon Rondo,"$6,300,000"
2017,Jonathon Simmons,"$6,300,000"
2017,Lonzo Ball,"$6,286,560"
2017,Wayne Ellington,"$6,270,000"
2017,Isaiah Thomas,"$6,261,394"
