player_id,player_firstname,player_lastname,pos,fga,defReb,fgm,tpm,totReb,offReb,turnovers,fta,pFouls,assists,points,game_id,steals,team_id,plusMinus,ftm,tpa,blocks
4,Steven,Adams,C,6,6,4,0,10,4,3,2,0,1,9,24986,1,38,2.0,1,1,2
18,Kyle,Anderson,SF,101,58,54,2,71,13,34,40,27,80,136,253191,14,440,80.0,26,12,16
20,Giannis,Antetokounmpo,PF,365,156,221,9,206,50,80,190,57,86,571,253210,27,420,33.0,120,38,24
36,Harrison,Barnes,SF,174,45,82,36,60,15,15,52,19,31,243,265489,18,630,-44.0,43,100,3
40,Nicolas,Batum,PF,120,84,64,46,110,26,16,8,62,44,180,405132,22,732,148.0,6,94,22
45,Bradley,Beal,SG,58,17,23,6,20,3,11,29,9,16,74,63026,4,140,8.0,22,17,1
46,Malik,Beasley,SG,203,82,94,66,96,14,16,12,43,34,262,290892,21,483,59.0,8,148,3
52,Davis,Bertans,SF,34,8,14,14,8,0,0,12,11,6,53,113533,4,225,44.0,11,33,1
53,Patrick,Beverley,PG,69,43,29,13,60,17,16,8,42,40,76,265610,7,567,55.0,5,39,6
54,Bismack,Biyombo,C,56,49,34,0,84,35,11,30,32,23,86,152582,6,228,-34.0,18,0,12
64,Devin,Booker,SG,222,42,108,29,54,12,33,81,33,94,320,164739,10,364,145.0,75,64,5
71,Malcolm,Brogdon,PG,203,46,85,26,60,14,24,48,19,79,234,176951,10,406,18.0,38,70,1
75,Jaylen,Brown,SG,349,84,162,50,95,11,50,76,53,69,428,253146,20,40,105.0,54,136,10
82,Reggie,Bullock,SF,19,16,3,3,17,1,3,0,4,5,9,138632,2,154,-41.0,0,18,1
84,Alec,Burks,SG,119,32,43,29,39,7,8,44,24,28,153,189763,7,150,-80.0,38,75,4
86,Jimmy,Butler,SF,195,43,90,17,70,27,24,106,11,56,290,177354,19,280,77.0,93,41,8
89,Kentavious,Caldwell-Pope,SG,178,32,83,35,42,10,27,40,44,55,239,278248,33,198,146.0,38,81,9
92,Clint,Capela,C,146,102,86,0,183,81,12,55,41,16,203,253059,16,20,-20.0,31,0,29
114,Mike,Conley,PG,141,40,64,39,49,9,17,17,33,105,184,240655,16,418,73.0,17,87,2
115,Pat,Connaughton,SG,131,73,52,29,91,18,19,17,21,48,145,290892,12,483,-30.0,12,88,4
118,Robert,Covington,PF,160,92,70,24,134,42,12,32,72,34,190,556836,58,1034,146.0,26,82,34
121,Jae,Crowder,PF,78,47,40,22,56,9,7,14,18,23,110,163651,9,273,-39.0,8,51,3
123,Seth,Curry,SG,38,12,14,5,15,3,4,12,9,9,43,177363,7,112,-5.0,10,19,2
124,Stephen,Curry,PG,348,78,166,97,92,14,70,120,33,77,542,252753,18,220,-22.0,113,220,6
126,Anthony,Davis,PF,318,188,174,9,248,60,45,137,63,70,471,290873,22,391,49.0,114,23,62
136,DeMar,DeRozan,SF,340,45,151,20,63,18,27,138,42,93,436,278214,25,132,-165.0,114,54,16
138,Cheick,Diallo,F,5,6,2,0,8,2,2,2,4,2,6,37568,1,60,-6.0,2,0,0
142,Spencer,Dinwiddie,PG,204,63,84,49,74,11,30,71,29,121,275,252937,12,80,89.0,58,128,3
147,Andre,Drummond,C,118,93,56,0,159,66,25,40,40,16,136,290905,22,138,-51.0,24,1,8
153,Kevin,Durant,PF,360,115,190,42,121,6,67,148,30,99,554,252750,12,560,116.0,132,82,18
159,Joel,Embiid,C,343,131,168,18,185,54,62,203,50,107,533,215347,17,459,106.0,179,57,32
164,Dante,Exum,G,73,34,35,4,43,9,8,18,18,34,86,227879,5,144,20.0,12,18,3
175,Dorian,Finney-Smith,PF,172,63,80,53,100,37,20,5,45,30,216,265544,9,84,-86.0,3,118,12
177,Evan,Fournier,SG,41,8,16,7,10,2,1,6,9,3,44,62772,2,120,-47.0,5,23,0
186,Rudy,Gay,SF,6,6,2,0,7,1,1,1,5,1,4,24988,1,22,14.0,0,4,0
189,Paul,George,F,321,103,145,54,115,12,45,82,48,65,421,240408,33,304,137.0,77,143,3
192,Rudy,Gobert,C,144,150,86,0,216,66,32,98,52,23,232,253191,13,440,92.0,60,1,40
195,Aaron,Gordon,PF,206,86,100,8,133,47,35,61,36,70,242,252659,19,180,109.0,34,42,17
196,Eric,Gordon,SG,230,34,110,53,42,8,28,25,28,58,294,265590,18,588,55.0,21,134,10
