Year,Player,Salary
2019,Player,2019/20
2019,Stephen Curry,"$40,231,758"
2019,Russell Westbrook,"$38,506,482"
2019,Chris Paul,"$38,506,482"
2019,James Harden,"$38,199,000"
2019,John Wall,"$38,199,000"
2019,LeBron James,"$37,436,858"
2019,Kevin Durant,"$37,199,000"
2019,Blake Griffin,"$34,449,964"
2019,Kyle Lowry,"$33,296,296"
2019,Paul George,"$33,005,556"
2019,Kemba Walker,"$32,742,000"
2019,Klay Thompson,"$32,742,000"
2019,Kawhi Leonard,"$32,742,000"
2019,Jimmy Butler,"$32,742,000"
2019,Tobias Harris,"$32,742,000"
2019,Gordon Hayward,"$32,700,690"
2019,Mike Conley,"$32,511,623"
2019,Kyrie Irving,"$31,742,000"
2019,Khris Middleton,"$30,603,448"
2019,Paul Millsap,"$30,350,000"
2019,Damian Lillard,"$29,802,321"
2019,Kevin Love,"$28,942,830"
2019,Nikola Vucevic,"$28,000,000"
2019,Al Horford,"$28,000,000"
2019,DeMar DeRozan,"$27,739,975"
2019,CJ McCollum,"$27,556,959"
2019,Nikola Jokic,"$27,504,630"
2019,Andrew Wiggins,"$27,504,630"
2019,Joel Embiid,"$27,504,630"
2019,Kristaps Porzingis,"$27,285,000"
2019,D'Angelo Russell,"$27,285,000"
2019,Karl-Anthony Towns,"$27,285,000"
2019,Devin Booker,"$27,285,000"
2019,Otto Porter,"$27,250,576"
2019,Anthony Davis,"$27,093,019"
2019,Andre Drummond,"$27,093,018"
2019,Hassan Whiteside,"$27,093,018"
2019,Bradley Beal,"$27,093,018"
2019,Jrue Holiday,"$26,131,111"
2019,LaMarcus Aldridge,"$26,000,000"
2019,Giannis Antetokounmpo,"$25,842,697"
2019,Steven Adams,"$25,842,697"
2019,Marc Gasol,"$25,595,700"
2019,Nicolas Batum,"$25,565,217"
2019,Rudy Gobert,"$25,258,427"
2019,Chandler Parsons,"$25,102,512"
2019,Harrison Barnes,"$24,147,727"
2019,Serge Ibaka,"$23,271,604"
2019,Danilo Gallinari,"$22,615,559"
2019,Victor Oladipo,"$21,000,000"
2019,Tim Hardaway Jr,"$20,025,127"
2019,Malcolm Brogdon,"$20,000,000"
2019,Terry Rozier,"$19,894,737"
