Year,Player,Salary
2020,Player,2020/21
2020,Stephen Curry,"$43,006,362"
2020,Chris Paul,"$41,358,814"
2020,Russell Westbrook,"$41,358,814"
2020,James Harden,"$41,254,920"
2020,John Wall,"$41,254,920"
2020,Kevin Durant,"$40,108,950"
2020,LeBron James,"$39,219,566"
2020,Paul George,"$35,450,412"
2020,Klay Thompson,"$35,361,360"
2020,Mike Conley,"$34,502,132"
2020,Kemba Walker,"$34,379,100"
2020,Kawhi Leonard,"$34,379,100"
2020,Jimmy Butler,"$34,379,100"
2020,Tobias Harris,"$34,358,850"
2020,Blake Griffin,"$33,900,241"
2020,Kyrie Irving,"$33,722,850"
2020,Khris Middleton,"$33,051,724"
2020,Anthony Davis,"$32,742,000"
2020,Damian Lillard,"$31,626,953"
2020,Kevin Love,"$31,258,256"
2020,Ben Simmons,"$30,559,200"
2020,Pascal Siakam,"$30,559,200"
2020,Kyle Lowry,"$30,500,000"
2020,Steven Adams,"$29,592,695"
2020,Nikola Jokic,"$29,542,010"
2020,Andrew Wiggins,"$29,542,010"
2020,Joel Embiid,"$29,542,010"
2020,Kristaps Porzingis,"$29,467,800"
2020,Karl-Anthony Towns,"$29,467,800"
2020,Devin Booker,"$29,467,800"
2020,CJ McCollum,"$29,354,152"
2020,Andre Drummond,"$28,751,774"
2020,Bradley Beal,"$28,751,774"
2020,D'Angelo Russell,"$28,649,250"
2020,Gordon Hayward,"$28,500,000"
2020,Otto Porter,"$28,489,239"
2020,DeMar DeRozan,"$27,739,975"
2020,Giannis Antetokounmpo,"$27,528,088"
2020,Rudy Gobert,"$27,525,281"
2020,Al Horford,"$27,500,000"
2020,Jamal Murray,"$27,285,000"
2020,Brandon Ingram,"$27,285,000"
2020,Jrue Holiday,"$27,026,011"
2020,Nikola Vucevic,"$26,000,000"
2020,Jaylen Brown,"$25,035,118"
2020,Buddy Hield,"$24,931,817"
2020,Draymond Green,"$22,246,956"
2020,Harrison Barnes,"$22,215,909"
2020,Fred VanVleet,"$21,250,000"
2020,Victor Oladipo,"$21,000,000"
2020,Malcolm Brogdon,"$20,700,000"
2020,Julius Randle,"$19,845,000"
2020,Domantas Sabonis,"$19,800,000"
2020,Gary Harris,"$19,610,714"
2020,Danilo Gallinari,"$19,500,000"
2020,Zach LaVine,"$19,500,000"
2020,Jerami Grant,"$19,050,000"
2020,Tim Hardaway Jr,"$18,975,000"
2020,Terry Rozier,"$18,900,000"
2020,Aaron Gordon,"$18,136,364"
2020,Clint Capela,"$18,000,000"
2020,Bogdan Bogdanovic,"$18,000,000"
2020,Myles Turner,"$18,000,000"
2020,Goran Dragic,"$18,000,000"
2020,Bojan Bogdanovic,"$17,850,000"
2020,LaMarcus Aldridge,"$17,628,340"
2020,Gorgui Dieng,"$17,587,688"
2020,Evan Fournier,"$17,150,000"
