player_id,player_firstname,player_lastname,pos,fga,defReb,fgm,tpm,totReb,offReb,turnovers,fta,pFouls,assists,points,game_id,steals,team_id,plusMinus,ftm,tpa,blocks
4,Steven,Adams,C,318.0,306.0,195.0,0.0,531.0,225.0,80.0,141.0,116.0,114.0,451.0,504016,55.0,1380,13.0,61.0,3.0,39.0
8,LaMarcus,Aldridge,C,590.0,182.0,276.0,58.0,220.0,38.0,50.0,74.0,84.0,96.0,672.0,408766,24.0,1280,-140.0,62.0,162.0,62.0
8,LaMarcus,Aldridge,PF,32.0,10.0,10.0,6.0,12.0,2.0,6.0,2.0,6.0,4.0,28.0,16280,0.0,62,-14.0,2.0,20.0,0.0
12,Al-Farouq,Aminu,PF,134.0,108.0,56.0,10.0,138.0,30.0,32.0,18.0,34.0,44.0,140.0,188680,24.0,572,-132.0,18.0,40.0,14.0
12,Al-Farouq,Aminu,SF,34.0,20.0,8.0,2.0,28.0,8.0,10.0,8.0,8.0,6.0,24.0,52004,10.0,156,-2.0,6.0,18.0,4.0
18,Kyle,Anderson,PF,529.0,282.0,257.0,78.0,324.0,42.0,67.0,137.0,90.0,185.0,698.0,465719,72.0,1045,118.0,106.0,212.0,48.0
18,Kyle,Anderson,SF,218.0,118.0,92.0,29.0,138.0,20.0,33.0,64.0,48.0,96.0,265.0,217708,28.0,475,-28.0,52.0,79.0,22.0
20,Giannis,Antetokounmpo,PF,1543.0,792.0,882.0,80.0,949.0,157.0,276.0,782.0,233.0,464.0,2359.0,717934,91.0,1757,538.0,515.0,289.0,99.0
20,Giannis,Antetokounmpo,SF,15.0,11.0,9.0,1.0,13.0,2.0,3.0,13.0,3.0,5.0,27.0,7544,3.0,21,-13.0,8.0,5.0,0.0
21,Carmelo,Anthony,PF,50.0,16.0,20.0,4.0,19.0,3.0,3.0,8.0,6.0,7.0,50.0,24088,4.0,87,50.0,6.0,14.0,5.0
23,Trevor,Ariza,PF,438.0,224.0,186.0,98.0,272.0,48.0,38.0,70.0,120.0,92.0,528.0,477854,62.0,1080,-6.0,58.0,268.0,34.0
23,Trevor,Ariza,SF,56.0,32.0,18.0,8.0,42.0,10.0,8.0,14.0,6.0,16.0,50.0,69280,4.0,160,56.0,6.0,32.0,0.0
28,D.J.,Augustin,PG,188.0,40.0,80.0,52.0,44.0,4.0,36.0,42.0,24.0,86.0,246.0,211366,16.0,420,-42.0,34.0,132.0,0.0
