player_id,player_firstname,player_lastname,pos,fga,defReb,fgm,tpm,totReb,offReb,turnovers,fta,pFouls,assists,points,game_id,steals,team_id,plusMinus,ftm,tpa,blocks
1,Alex,Abrines,SG,54.0,18.0,22.0,17.0,23.0,5.0,6.0,7.0,22.0,4.0,67.0,27970,5.0,200,-48.0,6.0,37.0,1.0
2,Quincy,Acy,C,5.0,4.0,2.0,2.0,6.0,2.0,0.0,2.0,2.0,1.0,8.0,3549,1.0,4,-11.0,2.0,5.0,2.0
2,Quincy,Acy,PF,38.0,26.0,13.0,10.0,32.0,6.0,9.0,4.0,14.0,18.0,40.0,25913,10.0,28,-34.0,4.0,32.0,6.0
4,Steven,Adams,C,780.0,347.0,488.0,0.0,758.0,411.0,140.0,311.0,241.0,101.0,1151.0,306100,98.0,2150,331.0,175.0,3.0,91.0
5,Arron,Afflalo,SF,6.0,3.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,7.0,6.0,2892,2.0,26,1.0,0.0,2.0,0.0
5,Arron,Afflalo,SG,13.0,2.0,5.0,0.0,5.0,3.0,3.0,2.0,5.0,1.0,12.0,10565,0.0,78,-21.0,2.0,2.0,2.0
8,LaMarcus,Aldridge,C,316.0,97.0,169.0,4.0,148.0,51.0,21.0,115.0,36.0,35.0,447.0,68326,9.0,527,42.0,105.0,13.0,23.0
8,LaMarcus,Aldridge,PF,1178.0,344.0,593.0,29.0,558.0,214.0,106.0,336.0,143.0,143.0,1494.0,230358,42.0,2108,207.0,279.0,96.0,71.0
12,Al-Farouq,Aminu,PF,630.0,450.0,255.0,136.0,563.0,113.0,82.0,89.0,147.0,91.0,711.0,265222,86.0,2117,181.0,65.0,364.0,43.0
12,Al-Farouq,Aminu,SF,5.0,7.0,1.0,1.0,8.0,1.0,0.0,2.0,1.0,1.0,5.0,2894,0.0,29,9.0,2.0,4.0,0.0
18,Kyle,Anderson,PF,59.0,47.0,32.0,7.0,62.0,15.0,17.0,14.0,18.0,37.0,79.0,55072,23.0,434,63.0,8.0,11.0,12.0
18,Kyle,Anderson,PG,6.0,4.0,5.0,0.0,4.0,0.0,0.0,3.0,1.0,3.0,13.0,2913,1.0,31,8.0,3.0,0.0,0.0
18,Kyle,Anderson,SF,356.0,241.0,190.0,13.0,305.0,64.0,74.0,120.0,94.0,151.0,482.0,192605,82.0,1736,18.0,89.0,41.0,45.0
19,Ryan,Anderson,C,15.0,13.0,3.0,1.0,16.0,3.0,0.0,2.0,1.0,1.0,9.0,6792,1.0,28,0.0,2.0,12.0,2.0
19,Ryan,Anderson,PF,391.0,173.0,168.0,105.0,248.0,75.0,40.0,71.0,99.0,49.0,496.0,164850,22.0,700,127.0,55.0,277.0,13.0
