player_id,player_firstname,player_lastname,pos,fga,defReb,fgm,tpm,totReb,offReb,turnovers,fta,pFouls,assists,points,game_id,steals,team_id,plusMinus,ftm,tpa,blocks
4,Steven,Adams,C,424.0,461.0,233.0,0.0,839.0,378.0,132.0,219.0,169.0,275.0,586.0,848069,65.0,1596,435.0,120.0,1.0,62.0
8,LaMarcus,Aldridge,C,149.0,65.0,76.0,4.0,82.0,17.0,12.0,30.0,24.0,14.0,183.0,125274,6.0,52,36.0,27.0,17.0,13.0
17,Justin,Anderson,PF,126.0,57.0,66.0,27.0,60.0,3.0,9.0,18.0,24.0,39.0,174.0,128076,12.0,180,-36.0,15.0,72.0,0.0
17,Justin,Anderson,SF,54.0,39.0,15.0,6.0,42.0,3.0,3.0,15.0,9.0,24.0,45.0,63936,6.0,90,-60.0,9.0,30.0,6.0
18,Kyle,Anderson,PF,58.0,38.0,31.0,2.0,48.0,10.0,15.0,23.0,15.0,23.0,76.0,83496,11.0,152,-4.0,12.0,7.0,10.0
18,Kyle,Anderson,SF,35.0,23.0,16.0,1.0,27.0,4.0,6.0,4.0,7.0,18.0,37.0,49992,3.0,95,-6.0,4.0,10.0,2.0
20,Giannis,Antetokounmpo,C,18.0,9.0,10.0,0.0,10.0,1.0,2.0,13.0,2.0,9.0,30.0,9607,1.0,21,14.0,10.0,2.0,2.0
20,Giannis,Antetokounmpo,PF,1514.0,784.0,832.0,83.0,947.0,163.0,265.0,862.0,246.0,453.0,2357.0,807365,85.0,1673,460.0,610.0,283.0,100.0
20,Giannis,Antetokounmpo,PG,34.0,16.0,17.0,1.0,18.0,2.0,9.0,29.0,7.0,15.0,60.0,20398,0.0,42,13.0,25.0,5.0,5.0
20,Giannis,Antetokounmpo,SF,16.0,7.0,7.0,0.0,10.0,3.0,3.0,8.0,4.0,11.0,20.0,9184,1.0,21,9.0,6.0,2.0,1.0
21,Carmelo,Anthony,PF,49.0,21.0,21.0,6.0,22.0,1.0,4.0,9.0,13.0,3.0,55.0,50972,4.0,85,-35.0,7.0,23.0,1.0
23,Trevor,Ariza,PF,32.0,21.0,8.0,2.0,23.0,2.0,7.0,1.0,6.0,7.0,19.0,82422,10.0,136,-46.0,1.0,23.0,2.0
23,Trevor,Ariza,SF,21.0,12.0,5.0,3.0,14.0,2.0,0.0,4.0,4.0,1.0,16.0,31339,0.0,51,-26.0,3.0,14.0,2.0
28,D.J.,Augustin,PG,14.0,2.0,4.0,2.0,2.0,0.0,12.0,4.0,4.0,12.0,14.0,36768,2.0,56,-46.0,4.0,8.0,0.0
36,Harrison,Barnes,PF,62.0,27.0,28.0,8.0,36.0,9.0,7.0,21.0,6.0,9.0,83.0,46900,4.0,150,12.0,19.0,22.0,0.0
36,Harrison,Barnes,SF,814.0,336.0,384.0,145.0,412.0,76.0,112.0,400.0,95.0,186.0,1242.0,770911,52.0,2280,-342.0,329.0,365.0,15.0
38,Will,Barton,PG,13.0,3.0,8.0,2.0,4.0,1.0,2.0,0.0,0.0,5.0,18.0,10702,1.0,9,13.0,0.0,6.0,0.0
38,Will,Barton,SF,129.0,36.0,54.0,20.0,43.0,7.0,21.0,17.0,18.0,42.0,142.0,91683,8.0,81,-17.0,14.0,59.0,7.0
38,Will,Barton,SG,843.0,288.0,368.0,149.0,332.0,44.0,114.0,116.0,111.0,248.0,977.0,689691,51.0,612,51.0,92.0,401.0,26.0
40,Nicolas,Batum,PF,157.0,107.0,73.0,44.0,118.0,11.0,25.0,19.0,36.0,38.0,202.0,237568,24.0,384,-80.0,12.0,114.0,15.0
40,Nicolas,Batum,SF,226.0,125.0,100.0,58.0,144.0,19.0,16.0,17.0,51.0,60.0,270.0,355529,35.0,544,-25.0,12.0,148.0,23.0
44,Kent,Bazemore,PF,4.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,9749,0.0,17,-25.0,0.0,3.0,1.0
44,Kent,Bazemore,SF,71.0,36.0,26.0,16.0,39.0,3.0,9.0,8.0,35.0,18.0,75.0,115980,16.0,204,-53.0,7.0,40.0,2.0
44,Kent,Bazemore,SG,38.0,11.0,14.0,8.0,11.0,0.0,4.0,10.0,21.0,5.0,42.0,59320,4.0,102,-40.0,6.0,24.0,1.0
46,Malik,Beasley,SF,71.0,13.0,28.0,17.0,13.0,0.0,7.0,2.0,10.0,15.0,74.0,50192,4.0,110,28.0,1.0,54.0,0.0
46,Malik,Beasley,SG,190.0,31.0,81.0,60.0,37.0,6.0,9.0,10.0,17.0,18.0,230.0,146003,10.0,308,17.0,8.0,146.0,2.0
47,Michael,Beasley,PF,10.0,4.0,6.0,2.0,4.0,0.0,2.0,2.0,3.0,2.0,16.0,9555,1.0,29,8.0,2.0,3.0,1.0
49,DeAndre',Bembry,PF,140.0,82.0,92.0,10.0,110.0,28.0,20.0,12.0,62.0,38.0,196.0,230960,26.0,96,12.0,2.0,22.0,18.0
49,DeAndre',Bembry,SF,90.0,22.0,36.0,2.0,44.0,22.0,12.0,28.0,34.0,16.0,88.0,141854,0.0,56,-86.0,14.0,18.0,6.0
49,DeAndre',Bembry,SG,28.0,14.0,18.0,0.0,14.0,0.0,4.0,0.0,10.0,10.0,36.0,38406,4.0,16,-26.0,0.0,2.0,0.0
53,Patrick,Beverley,PG,235.0,102.0,101.0,44.0,137.0,35.0,43.0,59.0,91.0,148.0,292.0,311246,29.0,682,96.0,46.0,130.0,32.0
53,Patrick,Beverley,SG,243.0,90.0,91.0,42.0,124.0,34.0,42.0,98.0,106.0,136.0,290.0,322309,42.0,682,-20.0,66.0,130.0,26.0
54,Bismack,Biyombo,C,27.0,17.0,14.0,0.0,29.0,12.0,3.0,15.0,9.0,2.0,36.0,30927,1.0,84,2.0,8.0,0.0,3.0
59,Eric,Bledsoe,PG,150.0,40.0,64.0,14.0,48.0,8.0,40.0,32.0,32.0,84.0,170.0,167088,22.0,256,4.0,28.0,36.0,8.0
59,Eric,Bledsoe,SG,434.0,176.0,184.0,46.0,208.0,32.0,124.0,118.0,84.0,172.0,508.0,479984,68.0,800,-186.0,94.0,160.0,26.0
64,Devin,Booker,PG,64.0,15.0,31.0,7.0,15.0,0.0,11.0,18.0,6.0,24.0,85.0,31403,9.0,84,-1.0,16.0,20.0,2.0
64,Devin,Booker,SG,1542.0,322.0,716.0,207.0,378.0,56.0,186.0,400.0,202.0,350.0,1987.0,776118,74.0,2128,464.0,348.0,529.0,28.0
68,Avery,Bradley,PG,12.0,6.0,4.0,4.0,8.0,2.0,6.0,0.0,0.0,4.0,12.0,20788,0.0,34,0.0,0.0,10.0,2.0
68,Avery,Bradley,SG,570.0,164.0,242.0,128.0,210.0,46.0,58.0,28.0,176.0,80.0,636.0,873086,100.0,1496,-262.0,24.0,330.0,16.0
71,Malcolm,Brogdon,PG,385.0,113.0,178.0,44.0,135.0,22.0,59.0,116.0,56.0,157.0,499.0,259425,22.0,405,73.0,99.0,140.0,11.0
71,Malcolm,Brogdon,SF,28.0,7.0,10.0,0.0,9.0,2.0,9.0,4.0,3.0,17.0,24.0,21135,1.0,30,-49.0,4.0,6.0,0.0
71,Malcolm,Brogdon,SG,153.0,38.0,69.0,17.0,48.0,10.0,15.0,50.0,15.0,45.0,196.0,92765,9.0,135,-15.0,41.0,47.0,3.0
75,Jaylen,Brown,PF,20.0,6.0,12.0,3.0,9.0,3.0,3.0,4.0,3.0,3.0,30.0,9606,3.0,2,12.0,3.0,7.0,1.0
