player_id,player_firstname,player_lastname,pos,fga,defReb,fgm,tpm,totReb,offReb,turnovers,fta,pFouls,assists,points,game_id,steals,team_id,plusMinus,ftm,tpa,blocks
1,Alex,Abrines,SG,20.0,4.0,8.0,8.0,5.0,1.0,0.0,0.0,3.0,2.0,24.0,9410,0.0,50,19.0,0.0,19.0,0.0
4,Steven,Adams,C,872.0,407.0,519.0,0.0,824.0,417.0,153.0,309.0,222.0,136.0,1191.0,442832,122.0,2200,366.0,153.0,4.0,86.0
8,LaMarcus,Aldridge,C,798.0,291.0,424.0,5.0,443.0,152.0,101.0,257.0,120.0,118.0,1064.0,254037,27.0,1612,69.0,211.0,17.0,68.0
8,LaMarcus,Aldridge,PF,670.0,271.0,329.0,8.0,386.0,115.0,57.0,187.0,85.0,97.0,831.0,203667,22.0,1209,24.0,165.0,38.0,48.0
9,Cliff,Alexander,C,29.0,18.0,16.0,0.0,22.0,4.0,5.0,9.0,5.0,0.0,39.0,22653,2.0,92,-11.0,7.0,0.0,2.0
12,Al-Farouq,Aminu,PF,679.0,550.0,291.0,111.0,682.0,132.0,83.0,202.0,163.0,121.0,865.0,483725,77.0,2726,415.0,172.0,320.0,44.0
12,Al-Farouq,Aminu,SF,32.0,27.0,13.0,6.0,36.0,9.0,6.0,7.0,16.0,5.0,37.0,30448,4.0,174,22.0,5.0,15.0,0.0
12,Al-Farouq,Aminu,SG,4.0,5.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,3.0,2.0,5617,5.0,43,12.0,0.0,2.0,1.0
17,Justin,Anderson,SF,38.0,15.0,15.0,8.0,25.0,10.0,3.0,7.0,7.0,7.0,42.0,22163,5.0,4,-44.0,4.0,19.0,2.0
18,Kyle,Anderson,SF,258.0,185.0,141.0,8.0,232.0,47.0,51.0,60.0,103.0,119.0,325.0,185538,50.0,741,-54.0,35.0,31.0,33.0
18,Kyle,Anderson,SG,2.0,6.0,0.0,0.0,6.0,0.0,3.0,4.0,3.0,2.0,4.0,4383,1.0,19,-5.0,4.0,0.0,0.0
19,Ryan,Anderson,PF,142.0,64.0,52.0,24.0,94.0,30.0,24.0,42.0,38.0,34.0,164.0,105982,4.0,672,-20.0,36.0,82.0,0.0
19,Ryan,Anderson,SF,8.0,0.0,2.0,0.0,6.0,6.0,2.0,4.0,4.0,4.0,6.0,8866,0.0,56,-14.0,2.0,6.0,0.0
20,Giannis,Antetokounmpo,PF,1489.0,874.0,844.0,73.0,1065.0,191.0,311.0,827.0,281.0,492.0,2348.0,448551,104.0,1840,769.0,587.0,265.0,137.0
20,Giannis,Antetokounmpo,SF,38.0,28.0,23.0,0.0,33.0,5.0,8.0,23.0,5.0,10.0,63.0,9599,7.0,42,9.0,17.0,3.0,4.0
20,Giannis,Antetokounmpo,SG,26.0,11.0,15.0,2.0,14.0,3.0,4.0,19.0,3.0,8.0,43.0,5329,2.0,21,19.0,11.0,3.0,1.0
21,Carmelo,Anthony,SF,47.0,11.0,20.0,13.0,15.0,4.0,2.0,9.0,11.0,0.0,61.0,17601,4.0,56,-28.0,8.0,24.0,5.0
23,Trevor,Ariza,PF,149.0,70.0,61.0,29.0,78.0,8.0,22.0,26.0,24.0,46.0,173.0,69897,18.0,496,-174.0,22.0,88.0,3.0
23,Trevor,Ariza,SF,612.0,257.0,247.0,122.0,301.0,44.0,88.0,147.0,113.0,218.0,732.0,288635,79.0,2107,-154.0,116.0,358.0,17.0
28,D.J.,Augustin,PG,731.0,174.0,342.0,141.0,220.0,46.0,143.0,238.0,126.0,463.0,1027.0,445377,53.0,2314,95.0,202.0,335.0,5.0
