Year,Player,Salary
2022,Player,2022/23
2022,Stephen Curry,"$48,070,014"
2022,John Wall,"$47,345,760"
2022,Russell Westbrook,"$47,080,179"
2022,LeBron James,"$44,474,988"
2022,Kevin Durant,"$44,119,845"
2022,Bradley Beal,"$43,279,250"
2022,Kawhi Leonard,"$42,492,492"
2022,Paul George,"$42,492,492"
2022,Giannis Antetokounmpo,"$42,492,492"
2022,Damian Lillard,"$42,492,492"
2022,Klay Thompson,"$40,600,080"
2022,Kyrie Irving,"$38,917,057"
2022,Rudy Gobert,"$38,172,414"
2022,Khris Middleton,"$37,984,276"
2022,Anthony Davis,"$37,980,720"
2022,Jimmy Butler,"$37,653,300"
2022,Tobias Harris,"$37,633,050"
2022,Kemba Walker,"$37,281,261"
2022,Trae Young,"$37,096,500"
2022,Zach LaVine,"$37,096,500"
2022,Luka Doncic,"$37,096,500"
2022,Ben Simmons,"$35,448,672"
2022,Pascal Siakam,"$35,448,672"
2022,Myles Turner,"$35,096,500"
2022,Jrue Holiday,"$34,319,520"
2022,Karl-Anthony Towns,"$33,833,400"
2022,Devin Booker,"$33,833,400"
2022,Kristaps Porzingis,"$33,833,400"
2022,Andrew Wiggins,"$33,616,770"
2022,Joel Embiid,"$33,616,770"
2022,CJ McCollum,"$33,333,333"
2022,Nikola Jokic,"$33,047,803"
2022,James Harden,"$33,000,000"
2022,Jamal Murray,"$31,650,600"
2022,Brandon Ingram,"$31,650,600"
2022,D'Angelo Russell,"$31,377,750"
2022,Donovan Mitchell,"$30,913,750"
2022,Michael Porter,"$30,913,750"
2022,Shai Gilgeous-Alexander,"$30,913,750"
2022,Deandre Ayton,"$30,913,750"
2022,Kevin Love,"$30,556,968"
2022,Jayson Tatum,"$30,351,780"
2022,Bam Adebayo,"$30,351,780"
2022,De'Aaron Fox,"$30,351,780"
2022,Gordon Hayward,"$30,075,000"
2022,Jaylen Brown,"$29,776,785"
2022,Jaren Jackson Jr,"$28,946,605"
2022,Chris Paul,"$28,400,000"
2022,Kyle Lowry,"$28,333,334"
2022,Jalen Brunson,"$27,733,332"
2022,DeMar DeRozan,"$27,300,000"
2022,Al Horford,"$26,500,000"
2022,Draymond Green,"$25,806,468"
2022,Julius Randle,"$23,760,000"
2022,John Collins,"$23,500,000"
2022,Mike Conley,"$22,680,000"
2022,Malcolm Brogdon,"$22,600,000"
2022,Anfernee Simons,"$22,321,429"
2022,Nikola Vucevic,"$22,000,000"
2022,Terry Rozier,"$21,486,316"
2022,Fred VanVleet,"$21,250,000"
2022,Buddy Hield,"$21,177,750"
2022,Domantas Sabonis,"$21,100,000"
2022,Jerami Grant,"$20,955,000"
2022,Aaron Gordon,"$20,690,909"
2022,Mikal Bridges,"$20,100,000"
2022,Jarrett Allen,"$20,000,000"
2022,Nicolas Batum,"$19,700,319"
2022,Tim Hardaway Jr,"$19,602,273"
2022,Eric Gordon,"$19,568,360"
2022,Bojan Bogdanovic,"$19,550,000"
2022,Lonzo Ball,"$19,534,884"
2022,Spencer Dinwiddie,"$19,500,000"
2022,Danilo Gallinari,"$19,479,000"
2022,Caris LeVert,"$18,796,296"
2022,Joe Harris,"$18,642,857"
2022,Harrison Barnes,"$18,352,273"
2022,Clint Capela,"$18,206,896"
2022,Bogdan Bogdanovic,"$18,000,000"
2022,Evan Fournier,"$18,000,000"
2022,Steven Adams,"$17,926,829"
2022,Jonathan Isaac,"$17,400,000"
2022,OG Anunoby,"$17,357,143"
2022,Gary Trent Jr,"$17,280,000"
2022,Marcus Smart,"$17,207,142"
2022,Derrick White,"$17,142,857"
2022,Dejounte Murray,"$17,071,120"
2022,Mitchell Robinson,"$17,045,454"
2022,Duncan Robinson,"$16,902,000"
2022,Norman Powell,"$16,758,621"
2022,Collin Sexton,"$16,700,000"
2022,Markelle Fultz,"$16,500,000"
2022,Lauri Markkanen,"$16,475,454"
2022,Marcus Morris,"$16,372,093"
2022,Davis Bertans,"$16,000,000"
2022,Jusuf Nurkic,"$15,625,000"
2022,Malik Beasley,"$15,558,035"
2022,Luguentz Dort,"$15,277,778"
2022,Will Barton,"$15,059,712"
2022,Tyus Jones,"$15,000,000"
2022,Jonas Valanciunas,"$14,700,000"
2022,Derrick Rose,"$14,520,730"
2022,Kevin Huerter,"$14,508,929"
2022,Christian Wood,"$14,317,459"
2022,Wendell Carter,"$14,150,000"
2022,Kentavious Caldwell-Pope,"$14,004,703"
2022,Brook Lopez,"$13,906,976"
2022,Patrick Beverley,"$13,801,614"
2022,Doug McDermott,"$13,750,000"
2022,Luke Kennard,"$13,745,455"
2022,Zion Williamson,"$13,534,817"
2022,Jordan Clarkson,"$13,340,000"
2022,Gary Harris,"$13,000,000"
2022,Kyle Kuzma,"$13,000,000"
2022,Josh Hart,"$12,960,000"
2022,Dorian Finney-Smith,"$12,939,848"
2022,Kelly Olynyk,"$12,804,878"
2022,Chris Boucher,"$12,690,000"
2022,Kelly Oubre,"$12,600,000"
2022,Marvin Bagley,"$12,500,000"
2022,Robert Covington,"$12,307,692"
2022,Josh Richardson,"$12,196,094"
2022,Ja Morant,"$12,119,440"
2022,Danny Green,"$11,710,528"
2022,Devonte Graham,"$11,550,000"
2022,Terrence Ross,"$11,500,000"
2022,Reggie Jackson,"$11,457,217"
2022,Dillon Brooks,"$11,400,000"
